53,Baidyabati STP,West Bengal,Baidyabati ,6 MLD,22.800003,88.317653,,,
54,Bandipur STP,West Bengal,Titagarh ,14 MLD,22.648523,87.548203,,,
55,Konnagar,West Bengal,Konnagar,22 MLD,22.701544,88.321777,20-03-2017,Non- Operational,
56,Panihati STP,West Bengal,Panihati ,12 MLD,22.697753,88.373782,05/09/17,Non- Operational,
57,"Kona STP (Chakpara, Anandnagar Gram Panchayat",West Bengal,Ballay & Howrah,30 MLD,,,,,
58,Chandannagar STP (Trickling Filter),West Bengal,Chandannagar,18.16 MLD,22.86605,88.362586,,,
59,Chandannagar STP ,West Bengal,Chandannagar,4.54 MLD,22.866999,88.362929,,,
60,Bansberia STP,West Bengal,Bansberia ,0.3 MLD,22.967506,88.396667,,,
61,Kamarhati STP ,West Bengal,Kamarhati  ,40 MLD,22.685464,88.370789,,,
62,Naihati  STP ,West Bengal,Naihati  ,11.56 MLD,22.893411,88.412248,,,
63,Garulia STP ,West Bengal,Garulia ,7.9 MLD,22.818484,88.364154,,,
64,Garden Reach STP ,West Bengal,Kolkata,47.5 MLD,22.534626,88.29951,06/03/17,Non- Operational,
65,Serampore STP,West Bengal,Serampore ,18.9 MLD,22.743516,88.342019,01/03/17,Non- Operational,
66,Maheshtala STP,West Bengal,Maheshtala ,4,,,,,
67,Budge Budge STP,West Bengal,Budge Budge ,4.25 MLD,22.466912,88.16647,,,
68,Bhadreswar STP,West Bengal,Bhadreswar ,7.6 MLD,22.827724,88.345201,,,
69,Howrah STP,West Bengal,Howrah ,45 MLD,23.083128,88.131909,23-08-2017,Non- Operational,
70,Barrackpure,West Bengal,Barrackpore,1 MLD,22.767891,88.366757,03/03/17,Non- Operational,
71,Berhrampore,West Bengal,Mursidabad,3.7 MLD,22.767891,88.366757,,,
72,"Kalyani Block- B2, B3",West Bengal,Kalyani ,11 MLD,22.978966,88.424528,20-03-2017,Non- Operational,
73,Kalyani Town Area,West Bengal,Kalyani,6 MLD,22.975499,88.43854,20-03-2017,Non- Operational,
74,Champadani,West Bengal,Champadani,0.3 MLD,22.802675,88.341378,28-03-2017,Non- Operational,
75,"Cossipore, Chitpur",West Bengal,Kolkata,45 MLD,22.610343,88.371577,06/03/17,Non- Operational,
76,Nabadwip,West Bengal,Nabadwip,10 MLD,23.408013,88.367387,,,
77,"Jiaganj, Azimpur",West Bengal,"Jiaganj, Azimganj",1.39 MLD,24.217655,88.711814,,,
78,"Gayeshpur, Halishar & Kanchrapara",West Bengal,"Gayeshpur, Halishar & Kanchrapara",13 MLD,22.959049,88.495345,,,
